2017-07-11 14:28:51,347 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Tue Jul 11 14:28:51 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-11 14:53:36,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 17:02:39,878 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@77caeb3e: startup date [Tue Jul 11 17:02:39 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-11 17:02:42,157 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-11 17:02:42,204 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-11 17:02:42,792 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-11 17:02:42,857 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-11 17:02:42,947 | INFO  | Recovery replayed 495 operations from the journal in 0.145 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-11 17:02:43,337 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-59687-1499760163007-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-11 17:02:43,447 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 17:02:43,447 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 17:02:43,451 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 17:02:43,455 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 17:02:43,467 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 17:02:43,469 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 17:02:43,478 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 17:02:43,480 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 17:02:43,921 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-11 17:02:43,921 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 17:02:43,921 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-59687-1499760163007-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-11 17:02:43,921 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-11 17:02:44,851 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-11 17:02:44,965 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-11 17:02:45,864 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-12 13:29:55,072 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@77caeb3e: startup date [Wed Jul 12 13:29:55 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-12 13:29:57,528 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-12 13:29:57,575 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:29:58,259 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:29:58,379 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:29:58,483 | INFO  | Recovery replayed 873 operations from the journal in 0.184 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:29:58,699 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-60220-1499833798532-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:29:58,845 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:29:58,845 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:29:58,855 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:29:58,855 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:29:58,865 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:29:58,865 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:29:58,866 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:29:58,866 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:29:59,182 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-12 13:29:59,184 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:29:59,195 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-60220-1499833798532-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:29:59,199 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:30:00,630 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-12 13:30:00,807 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-12 13:30:01,548 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-12 13:54:32,100 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Wed Jul 12 13:54:32 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-12 13:54:33,918 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-12 13:54:33,968 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:54:34,534 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:54:34,574 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:54:34,698 | INFO  | Recovery replayed 924 operations from the journal in 0.154 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-12 13:54:34,932 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-60290-1499835274743-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:54:35,048 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:54:35,058 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:54:35,058 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:54:35,068 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:54:35,068 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:54:35,069 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:54:35,069 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-12 13:54:35,069 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:54:35,407 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-12 13:54:35,409 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-12 13:54:35,411 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-60290-1499835274743-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:54:35,413 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-12 13:54:36,510 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-12 13:54:36,715 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-12 13:54:37,630 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-12 13:59:31,981 | WARN  | Transport Connection to: tcp://127.0.0.1:60310 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60310@61616
2017-07-12 14:01:36,783 | WARN  | Transport Connection to: tcp://127.0.0.1:60316 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60316@61616
2017-07-13 10:51:22,297 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Thu Jul 13 10:51:22 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-13 10:51:23,890 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-13 10:51:23,940 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-13 10:51:24,722 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-13 10:51:24,852 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-13 10:51:25,013 | INFO  | Recovery replayed 2889 operations from the journal in 0.241 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-13 10:51:25,264 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-49898-1499910685094-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-13 10:51:25,384 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-13 10:51:25,394 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-13 10:51:25,404 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-13 10:51:25,404 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-13 10:51:25,405 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-13 10:51:25,405 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-13 10:51:25,408 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-13 10:51:25,413 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-13 10:51:25,848 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-13 10:51:25,848 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-13 10:51:25,848 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-49898-1499910685094-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-13 10:51:25,858 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-13 10:51:27,235 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-13 10:51:27,500 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-13 10:51:28,334 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-14 09:09:04,490 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Fri Jul 14 09:09:04 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-14 09:09:06,237 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-14 09:09:06,284 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-14 09:09:06,892 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-14 09:09:06,986 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-14 09:09:07,033 | INFO  | Recovery replayed 557 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-07-14 09:09:07,298 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-49346-1499990947111-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-14 09:09:07,423 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-14 09:09:07,423 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-14 09:09:07,438 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-14 09:09:07,438 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-14 09:09:07,438 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-14 09:09:07,438 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-14 09:09:07,454 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-14 09:09:07,454 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-14 09:09:07,922 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-14 09:09:07,922 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-14 09:09:07,922 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-49346-1499990947111-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-14 09:09:07,922 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-14 09:09:09,373 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-14 09:09:09,607 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-14 09:09:10,543 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-14 10:21:48,923 | WARN  | Transport Connection to: tcp://127.0.0.1:50150 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50150@61616
2017-07-14 11:15:23,185 | WARN  | Transport Connection to: tcp://127.0.0.1:50414 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50414@61616
2017-07-14 11:17:07,523 | WARN  | Transport Connection to: tcp://127.0.0.1:50439 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50439@61616
2017-07-14 11:37:57,677 | WARN  | Transport Connection to: tcp://127.0.0.1:50583 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50583@61616
2017-07-14 11:44:22,679 | WARN  | Transport Connection to: tcp://127.0.0.1:50628 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50628@61616
2017-07-14 14:12:22,050 | WARN  | Transport Connection to: tcp://127.0.0.1:60785 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60785@61616
2017-07-14 15:12:06,910 | WARN  | Transport Connection to: tcp://127.0.0.1:61026 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61026@61616
